"","Xloc","Yloc","Landuse","Rock"
"59",0.55,1.8,"Forest","Kimmeridgian"
"60",0.55,1.85,"Forest","Kimmeridgian"
"61",0.55,1.9,"Forest","Kimmeridgian"
"62",0.55,1.95,"Forest","Kimmeridgian"
"63",0.55,2,"Forest","Kimmeridgian"
"64",0.55,2.05,"Forest","Kimmeridgian"
"65",0.55,2.1,"Forest","Quaternary"
"66",0.55,2.15,"Meadow","Argovian"
"67",0.55,2.2,"Meadow","Argovian"
"68",0.55,2.25,"Pasture","Argovian"
"69",0.55,2.3,"Pasture","Argovian"
"70",0.55,2.35,"Pasture","Argovian"
"71",0.55,2.4,"Pasture","Argovian"
"72",0.55,2.45,"Pasture","Argovian"
"73",0.55,2.5,"Forest","Argovian"
"74",0.55,2.55,"Forest","Argovian"
"75",0.55,2.6,"Forest","Argovian"
"76",0.55,2.65,"Forest","Argovian"
"77",0.55,2.7,"Forest","Argovian"
"78",0.6,1.6,"Meadow","Kimmeridgian"
"79",0.6,1.65,"Meadow","Kimmeridgian"
"80",0.6,1.7,"Forest","Kimmeridgian"
"81",0.6,1.75,"Forest","Kimmeridgian"
"82",0.6,1.8,"Forest","Kimmeridgian"
"83",0.6,1.85,"Forest","Kimmeridgian"
"84",0.6,1.9,"Forest","Kimmeridgian"
"85",0.6,1.95,"Forest","Kimmeridgian"
"86",0.6,2,"Forest","Kimmeridgian"
"87",0.6,2.05,"Forest","Kimmeridgian"
"88",0.6,2.1,"Forest","Quaternary"
"89",0.6,2.15,"Meadow","Argovian"
"90",0.6,2.2,"Meadow","Argovian"
"91",0.6,2.25,"Pasture","Argovian"
"92",0.6,2.3,"Pasture","Argovian"
"93",0.6,2.35,"Pasture","Argovian"
"94",0.6,2.4,"Pasture","Argovian"
"95",0.6,2.45,"Pasture","Argovian"
"96",0.6,2.5,"Forest","Argovian"
"97",0.6,2.55,"Forest","Argovian"
"98",0.6,2.6,"Forest","Argovian"
"99",0.6,2.65,"Forest","Argovian"
"100",0.6,2.7,"Forest","Argovian"
"101",0.65,1.6,"Meadow","Kimmeridgian"
"102",0.65,1.65,"Meadow","Kimmeridgian"
"103",0.65,1.7,"Forest","Kimmeridgian"
"104",0.65,1.75,"Forest","Kimmeridgian"
"105",0.65,1.8,"Forest","Kimmeridgian"
"106",0.65,1.85,"Forest","Kimmeridgian"
"107",0.65,1.9,"Forest","Kimmeridgian"
"108",0.65,1.95,"Forest","Kimmeridgian"
"109",0.65,2,"Forest","Kimmeridgian"
"110",0.65,2.05,"Forest","Kimmeridgian"
"111",0.65,2.1,"Forest","Quaternary"
"112",0.65,2.15,"Meadow","Argovian"
"113",0.65,2.2,"Meadow","Argovian"
"114",0.65,2.25,"Pasture","Argovian"
"115",0.65,2.3,"Pasture","Argovian"
"116",0.65,2.35,"Pasture","Argovian"
"117",0.65,2.4,"Pasture","Argovian"
"118",0.65,2.45,"Pasture","Argovian"
"119",0.65,2.5,"Forest","Argovian"
"120",0.65,2.55,"Forest","Argovian"
"121",0.65,2.6,"Forest","Argovian"
"122",0.65,2.65,"Forest","Argovian"
"123",0.65,2.7,"Forest","Argovian"
"124",0.7,1.6,"Forest","Kimmeridgian"
"125",0.7,1.65,"Forest","Kimmeridgian"
"126",0.7,1.7,"Forest","Kimmeridgian"
"127",0.7,1.75,"Forest","Kimmeridgian"
"128",0.7,1.8,"Forest","Sequanian"
"129",0.7,1.85,"Forest","Kimmeridgian"
"130",0.7,1.9,"Forest","Kimmeridgian"
"131",0.7,1.95,"Forest","Kimmeridgian"
"132",0.7,2,"Forest","Kimmeridgian"
"133",0.7,2.05,"Pasture","Sequanian"
"134",0.7,2.1,"Pasture","Sequanian"
"135",0.7,2.15,"Pasture","Quaternary"
"136",0.7,2.2,"Pasture","Quaternary"
"137",0.7,2.25,"Pasture","Argovian"
"138",0.7,2.3,"Pasture","Argovian"
"139",0.7,2.35,"Pasture","Argovian"
"140",0.7,2.4,"Pasture","Argovian"
"141",0.7,2.45,"Pasture","Argovian"
"142",0.7,2.5,"Forest","Argovian"
"143",0.7,2.55,"Forest","Argovian"
"144",0.7,2.6,"Forest","Argovian"
"145",0.7,2.65,"Forest","Argovian"
"146",0.7,2.7,"Forest","Argovian"
"147",0.75,1.6,"Meadow","Sequanian"
"148",0.75,1.65,"Meadow","Sequanian"
"149",0.75,1.7,"Meadow","Sequanian"
"150",0.75,1.75,"Meadow","Sequanian"
"151",0.75,1.8,"Meadow","Sequanian"
"152",0.75,1.85,"Forest","Kimmeridgian"
"153",0.75,1.9,"Forest","Kimmeridgian"
"154",0.75,1.95,"Meadow","Kimmeridgian"
"155",0.75,2,"Meadow","Kimmeridgian"
"156",0.75,2.05,"Pasture","Sequanian"
"157",0.75,2.1,"Pasture","Sequanian"
"158",0.75,2.15,"Pasture","Sequanian"
"159",0.75,2.2,"Pasture","Sequanian"
"160",0.75,2.25,"Pasture","Sequanian"
"161",0.75,2.3,"Pasture","Quaternary"
"162",0.75,2.35,"Pasture","Quaternary"
"163",0.75,2.4,"Pasture","Argovian"
"164",0.75,2.45,"Pasture","Argovian"
"165",0.75,2.5,"Pasture","Argovian"
"166",0.75,2.55,"Pasture","Argovian"
"167",0.75,2.6,"Pasture","Argovian"
"168",0.75,2.65,"Pasture","Argovian"
"169",0.75,2.7,"Pasture","Argovian"
"170",0.75,2.75,"Pasture","Argovian"
"171",0.8,1.5,"Meadow","Sequanian"
"172",0.8,1.55,"Meadow","Sequanian"
"173",0.8,1.6,"Meadow","Sequanian"
"174",0.8,1.65,"Meadow","Sequanian"
"175",0.8,1.7,"Meadow","Sequanian"
"176",0.8,1.75,"Meadow","Sequanian"
"177",0.8,1.8,"Meadow","Sequanian"
"178",0.8,1.85,"Forest","Kimmeridgian"
"179",0.8,1.9,"Forest","Kimmeridgian"
"180",0.8,1.95,"Meadow","Kimmeridgian"
"181",0.8,2,"Meadow","Kimmeridgian"
"182",0.8,2.05,"Meadow","Kimmeridgian"
"183",0.8,2.1,"Pasture","Kimmeridgian"
"184",0.8,2.15,"Pasture","Sequanian"
"185",0.8,2.2,"Pasture","Sequanian"
"186",0.8,2.25,"Pasture","Sequanian"
"187",0.8,2.3,"Pasture","Quaternary"
"188",0.8,2.35,"Pasture","Quaternary"
"189",0.8,2.4,"Pasture","Argovian"
"190",0.8,2.45,"Pasture","Argovian"
"191",0.8,2.5,"Pasture","Argovian"
"192",0.8,2.55,"Pasture","Argovian"
"193",0.8,2.6,"Pasture","Argovian"
"194",0.8,2.65,"Pasture","Argovian"
"195",0.8,2.7,"Pasture","Argovian"
"196",0.8,2.75,"Pasture","Argovian"
"197",0.8,2.8,"Pasture","Argovian"
"198",0.85,1.5,"Meadow","Sequanian"
"199",0.85,1.55,"Meadow","Sequanian"
"200",0.85,1.6,"Meadow","Sequanian"
"201",0.85,1.65,"Meadow","Sequanian"
"202",0.85,1.7,"Pasture","Sequanian"
"203",0.85,1.75,"Meadow","Sequanian"
"204",0.85,1.8,"Meadow","Sequanian"
"205",0.85,1.85,"Meadow","Sequanian"
"206",0.85,1.9,"Meadow","Sequanian"
"207",0.85,1.95,"Pasture","Kimmeridgian"
"208",0.85,2,"Pasture","Kimmeridgian"
"209",0.85,2.05,"Pasture","Kimmeridgian"
"210",0.85,2.1,"Pasture","Kimmeridgian"
"211",0.85,2.15,"Pasture","Sequanian"
"212",0.85,2.2,"Pasture","Sequanian"
"213",0.85,2.25,"Pasture","Sequanian"
"214",0.85,2.3,"Pasture","Sequanian"
"215",0.85,2.35,"Pasture","Sequanian"
"216",0.85,2.4,"Pasture","Quaternary"
"217",0.85,2.45,"Pasture","Argovian"
"218",0.85,2.5,"Pasture","Argovian"
"219",0.85,2.55,"Pasture","Argovian"
"220",0.85,2.6,"Pasture","Argovian"
"221",0.85,2.65,"Pasture","Argovian"
"222",0.85,2.7,"Pasture","Argovian"
"223",0.85,2.75,"Pasture","Argovian"
"224",0.85,2.8,"Forest","Argovian"
"225",0.85,2.85,"Forest","Argovian"
"226",0.9,1.4,"Meadow","Sequanian"
"227",0.9,1.45,"Meadow","Sequanian"
"228",0.9,1.5,"Meadow","Sequanian"
"229",0.9,1.55,"Meadow","Sequanian"
"230",0.9,1.6,"Meadow","Sequanian"
"231",0.9,1.65,"Meadow","Sequanian"
"232",0.9,1.7,"Pasture","Sequanian"
"233",0.9,1.75,"Meadow","Sequanian"
"234",0.9,1.8,"Meadow","Sequanian"
"235",0.9,1.85,"Meadow","Sequanian"
"236",0.9,1.9,"Meadow","Sequanian"
"237",0.9,1.95,"Pasture","Kimmeridgian"
"238",0.9,2,"Pasture","Kimmeridgian"
"239",0.9,2.05,"Pasture","Kimmeridgian"
"240",0.9,2.1,"Pasture","Kimmeridgian"
"241",0.9,2.15,"Pasture","Sequanian"
"242",0.9,2.2,"Pasture","Sequanian"
"243",0.9,2.25,"Pasture","Sequanian"
"244",0.9,2.3,"Pasture","Sequanian"
"245",0.9,2.35,"Pasture","Sequanian"
"246",0.9,2.4,"Pasture","Quaternary"
"247",0.9,2.45,"Pasture","Argovian"
"248",0.9,2.5,"Pasture","Argovian"
"249",0.9,2.55,"Pasture","Argovian"
"250",0.9,2.6,"Pasture","Argovian"
"251",0.9,2.65,"Pasture","Argovian"
"252",0.9,2.7,"Pasture","Argovian"
"253",0.9,2.75,"Pasture","Argovian"
"254",0.9,2.8,"Forest","Argovian"
"255",0.9,2.85,"Forest","Argovian"
"256",0.9,2.9,"Forest","Argovian"
"257",0.95,1.4,"Meadow","Argovian"
"258",0.95,1.45,"Meadow","Sequanian"
"259",0.95,1.5,"Meadow","Sequanian"
"260",0.95,1.55,"Meadow","Sequanian"
"261",0.95,1.6,"Meadow","Sequanian"
"262",0.95,1.65,"Meadow","Sequanian"
"263",0.95,1.7,"Pasture","Sequanian"
"264",0.95,1.75,"Meadow","Sequanian"
"265",0.95,1.8,"Meadow","Sequanian"
"266",0.95,1.85,"Pasture","Sequanian"
"267",0.95,1.9,"Pasture","Sequanian"
"268",0.95,1.95,"Pasture","Sequanian"
"269",0.95,2,"Pasture","Sequanian"
"270",0.95,2.05,"Pasture","Sequanian"
"271",0.95,2.1,"Pasture","Kimmeridgian"
"272",0.95,2.15,"Pasture","Sequanian"
"273",0.95,2.2,"Pasture","Sequanian"
"274",0.95,2.25,"Pasture","Sequanian"
"275",0.95,2.3,"Pasture","Sequanian"
"276",0.95,2.35,"Pasture","Sequanian"
"277",0.95,2.4,"Pasture","Sequanian"
"278",0.95,2.45,"Pasture","Sequanian"
"279",0.95,2.5,"Pasture","Quaternary"
"280",0.95,2.55,"Pasture","Argovian"
"281",0.95,2.6,"Pasture","Argovian"
"282",0.95,2.65,"Pasture","Argovian"
"283",0.95,2.7,"Pasture","Argovian"
"284",0.95,2.75,"Pasture","Argovian"
"285",0.95,2.8,"Forest","Argovian"
"286",0.95,2.85,"Forest","Argovian"
"287",0.95,2.9,"Pasture","Argovian"
"288",0.95,2.95,"Meadow","Argovian"
"289",1,1.3,"Meadow","Argovian"
"290",1,1.35,"Meadow","Argovian"
"291",1,1.4,"Meadow","Argovian"
"292",1,1.45,"Meadow","Sequanian"
"293",1,1.5,"Meadow","Sequanian"
"294",1,1.55,"Meadow","Sequanian"
"295",1,1.6,"Meadow","Sequanian"
"296",1,1.65,"Meadow","Sequanian"
"297",1,1.7,"Pasture","Sequanian"
"298",1,1.75,"Pasture","Sequanian"
"299",1,1.8,"Pasture","Sequanian"
"300",1,1.85,"Pasture","Sequanian"
"301",1,1.9,"Pasture","Sequanian"
"302",1,1.95,"Pasture","Sequanian"
"303",1,2,"Pasture","Sequanian"
"304",1,2.05,"Pasture","Sequanian"
"305",1,2.1,"Pasture","Kimmeridgian"
"306",1,2.15,"Pasture","Kimmeridgian"
"307",1,2.2,"Pasture","Kimmeridgian"
"308",1,2.25,"Pasture","Kimmeridgian"
"309",1,2.3,"Meadow","Sequanian"
"310",1,2.35,"Meadow","Sequanian"
"311",1,2.4,"Pasture","Sequanian"
"312",1,2.45,"Pasture","Sequanian"
"313",1,2.5,"Pasture","Quaternary"
"314",1,2.55,"Pasture","Argovian"
"315",1,2.6,"Pasture","Argovian"
"316",1,2.65,"Pasture","Argovian"
"317",1,2.7,"Pasture","Argovian"
"318",1,2.75,"Pasture","Argovian"
"319",1,2.8,"Pasture","Argovian"
"320",1,2.85,"Pasture","Argovian"
"321",1,2.9,"Pasture","Argovian"
"322",1,2.95,"Meadow","Argovian"
"323",1,3,"Meadow","Argovian"
"324",1.05,1.3,"Meadow","Argovian"
"325",1.05,1.35,"Meadow","Argovian"
"326",1.05,1.4,"Meadow","Argovian"
"327",1.05,1.45,"Meadow","Sequanian"
"328",1.05,1.5,"Meadow","Sequanian"
"329",1.05,1.55,"Meadow","Sequanian"
"330",1.05,1.6,"Meadow","Sequanian"
"331",1.05,1.65,"Meadow","Sequanian"
"332",1.05,1.7,"Pasture","Sequanian"
"333",1.05,1.75,"Pasture","Sequanian"
"334",1.05,1.8,"Pasture","Sequanian"
"335",1.05,1.85,"Pasture","Sequanian"
"336",1.05,1.9,"Pasture","Sequanian"
"337",1.05,1.95,"Pasture","Sequanian"
"338",1.05,2,"Pasture","Sequanian"
"339",1.05,2.05,"Pasture","Sequanian"
"340",1.05,2.1,"Pasture","Kimmeridgian"
"341",1.05,2.15,"Pasture","Kimmeridgian"
"342",1.05,2.2,"Pasture","Kimmeridgian"
"343",1.05,2.25,"Pasture","Kimmeridgian"
"344",1.05,2.3,"Meadow","Sequanian"
"345",1.05,2.35,"Meadow","Sequanian"
"346",1.05,2.4,"Pasture","Sequanian"
"347",1.05,2.45,"Pasture","Sequanian"
"348",1.05,2.5,"Pasture","Quaternary"
"349",1.05,2.55,"Pasture","Argovian"
"350",1.05,2.6,"Pasture","Argovian"
"351",1.05,2.65,"Pasture","Argovian"
"352",1.05,2.7,"Pasture","Argovian"
"353",1.05,2.75,"Pasture","Argovian"
"354",1.05,2.8,"Pasture","Argovian"
"355",1.05,2.85,"Pasture","Argovian"
"356",1.05,2.9,"Pasture","Argovian"
"357",1.05,2.95,"Meadow","Argovian"
"358",1.05,3,"Meadow","Argovian"
"359",1.05,3.05,"Meadow","Argovian"
"360",1.1,0.7,"Meadow","Sequanian"
"361",1.1,1.2,"Meadow","Argovian"
"362",1.1,1.25,"Meadow","Argovian"
"363",1.1,1.3,"Meadow","Argovian"
"364",1.1,1.35,"Meadow","Argovian"
"365",1.1,1.4,"Meadow","Argovian"
"366",1.1,1.45,"Pasture","Sequanian"
"367",1.1,1.5,"Pasture","Sequanian"
"368",1.1,1.55,"Pasture","Sequanian"
"369",1.1,1.6,"Pasture","Sequanian"
"370",1.1,1.65,"Pasture","Sequanian"
"371",1.1,1.7,"Pasture","Sequanian"
"372",1.1,1.75,"Pasture","Sequanian"
"373",1.1,1.8,"Pasture","Sequanian"
"374",1.1,1.85,"Pasture","Sequanian"
"375",1.1,1.9,"Pasture","Sequanian"
"376",1.1,1.95,"Pasture","Sequanian"
"377",1.1,2,"Pasture","Sequanian"
"378",1.1,2.05,"Meadow","Sequanian"
"379",1.1,2.1,"Meadow","Sequanian"
"380",1.1,2.15,"Pasture","Kimmeridgian"
"381",1.1,2.2,"Pasture","Kimmeridgian"
"382",1.1,2.25,"Meadow","Kimmeridgian"
"383",1.1,2.3,"Meadow","Kimmeridgian"
"384",1.1,2.35,"Meadow","Kimmeridgian"
"385",1.1,2.4,"Meadow","Kimmeridgian"
"386",1.1,2.45,"Meadow","Kimmeridgian"
"387",1.1,2.5,"Meadow","Sequanian"
"388",1.1,2.55,"Meadow","Quaternary"
"389",1.1,2.6,"Meadow","Quaternary"
"390",1.1,2.65,"Meadow","Argovian"
"391",1.1,2.7,"Meadow","Argovian"
"392",1.1,2.75,"Meadow","Argovian"
"393",1.1,2.8,"Pasture","Argovian"
"394",1.1,2.85,"Pasture","Argovian"
"395",1.1,2.9,"Pasture","Argovian"
"396",1.1,2.95,"Pasture","Argovian"
"397",1.1,3,"Meadow","Argovian"
"398",1.1,3.05,"Meadow","Argovian"
"399",1.1,3.1,"Meadow","Argovian"
"400",1.15,0.7,"Meadow","Sequanian"
"401",1.15,0.75,"Meadow","Sequanian"
"402",1.15,1.2,"Meadow","Argovian"
"403",1.15,1.25,"Meadow","Argovian"
"404",1.15,1.3,"Meadow","Argovian"
"405",1.15,1.35,"Meadow","Argovian"
"406",1.15,1.4,"Meadow","Argovian"
"407",1.15,1.45,"Pasture","Sequanian"
"408",1.15,1.5,"Pasture","Sequanian"
"409",1.15,1.55,"Pasture","Sequanian"
"410",1.15,1.6,"Pasture","Sequanian"
"411",1.15,1.65,"Pasture","Sequanian"
"412",1.15,1.7,"Pasture","Sequanian"
"413",1.15,1.75,"Pasture","Sequanian"
"414",1.15,1.8,"Pasture","Sequanian"
"415",1.15,1.85,"Pasture","Sequanian"
"416",1.15,1.9,"Pasture","Sequanian"
"417",1.15,1.95,"Pasture","Sequanian"
"418",1.15,2,"Pasture","Sequanian"
"419",1.15,2.05,"Meadow","Sequanian"
"420",1.15,2.1,"Meadow","Sequanian"
"421",1.15,2.15,"Pasture","Kimmeridgian"
"422",1.15,2.2,"Pasture","Kimmeridgian"
"423",1.15,2.25,"Meadow","Kimmeridgian"
"424",1.15,2.3,"Meadow","Kimmeridgian"
"425",1.15,2.35,"Meadow","Kimmeridgian"
"426",1.15,2.4,"Meadow","Kimmeridgian"
"427",1.15,2.45,"Meadow","Kimmeridgian"
"428",1.15,2.5,"Meadow","Sequanian"
"429",1.15,2.55,"Meadow","Quaternary"
"430",1.15,2.6,"Meadow","Quaternary"
"431",1.15,2.65,"Meadow","Argovian"
"432",1.15,2.7,"Meadow","Argovian"
"433",1.15,2.75,"Meadow","Argovian"
"434",1.15,2.8,"Pasture","Argovian"
"435",1.15,2.85,"Pasture","Argovian"
"436",1.15,2.9,"Pasture","Argovian"
"437",1.15,2.95,"Pasture","Argovian"
"438",1.15,3,"Meadow","Argovian"
"439",1.15,3.05,"Meadow","Argovian"
"440",1.15,3.1,"Meadow","Argovian"
"441",1.15,3.15,"Meadow","Argovian"
"442",1.2,0.6,"Tillage","Quaternary"
"443",1.2,0.65,"Tillage","Quaternary"
"444",1.2,0.7,"Tillage","Argovian"
"445",1.2,0.75,"Tillage","Argovian"
"446",1.2,0.8,"Meadow","Argovian"
"447",1.2,0.85,"Meadow","Argovian"
"448",1.2,0.9,"Meadow","Argovian"
"449",1.2,0.95,"Meadow","Argovian"
"450",1.2,1,"Meadow","Argovian"
"451",1.2,1.05,"Meadow","Argovian"
"452",1.2,1.1,"Forest","Argovian"
"453",1.2,1.15,"Forest","Argovian"
"454",1.2,1.2,"Forest","Argovian"
"455",1.2,1.25,"Forest","Argovian"
"456",1.2,1.3,"Forest","Quaternary"
"457",1.2,1.35,"Pasture","Argovian"
"458",1.2,1.4,"Pasture","Argovian"
"459",1.2,1.45,"Pasture","Sequanian"
"460",1.2,1.5,"Pasture","Sequanian"
"461",1.2,1.55,"Pasture","Sequanian"
"462",1.2,1.6,"Pasture","Sequanian"
"463",1.2,1.65,"Pasture","Sequanian"
"464",1.2,1.7,"Pasture","Sequanian"
"465",1.2,1.75,"Pasture","Sequanian"
"466",1.2,1.8,"Pasture","Sequanian"
"467",1.2,1.85,"Meadow","Sequanian"
"468",1.2,1.9,"Meadow","Sequanian"
"469",1.2,1.95,"Pasture","Sequanian"
"470",1.2,2,"Pasture","Sequanian"
"471",1.2,2.05,"Meadow","Sequanian"
"472",1.2,2.1,"Meadow","Sequanian"
"473",1.2,2.15,"Meadow","Quaternary"
"474",1.2,2.2,"Meadow","Quaternary"
"475",1.2,2.25,"Meadow","Kimmeridgian"
"476",1.2,2.3,"Meadow","Kimmeridgian"
"477",1.2,2.35,"Meadow","Kimmeridgian"
"478",1.2,2.4,"Meadow","Kimmeridgian"
"479",1.2,2.45,"Meadow","Kimmeridgian"
"480",1.2,2.5,"Meadow","Kimmeridgian"
"481",1.2,2.55,"Meadow","Sequanian"
"482",1.2,2.6,"Meadow","Sequanian"
"483",1.2,2.65,"Meadow","Sequanian"
"484",1.2,2.7,"Meadow","Sequanian"
"485",1.2,2.75,"Meadow","Sequanian"
"486",1.2,2.8,"Meadow","Argovian"
"487",1.2,2.85,"Meadow","Argovian"
"488",1.2,2.9,"Meadow","Argovian"
"489",1.2,2.95,"Meadow","Argovian"
"490",1.2,3,"Meadow","Argovian"
"491",1.2,3.05,"Meadow","Argovian"
"492",1.2,3.1,"Meadow","Argovian"
"493",1.2,3.15,"Meadow","Argovian"
"494",1.2,3.2,"Meadow","Argovian"
"495",1.25,0.6,"Tillage","Quaternary"
"496",1.25,0.65,"Tillage","Quaternary"
"497",1.25,0.7,"Tillage","Argovian"
"498",1.25,0.75,"Tillage","Argovian"
"499",1.25,0.8,"Tillage","Argovian"
"500",1.25,0.85,"Tillage","Argovian"
"501",1.25,0.9,"Tillage","Argovian"
"502",1.25,0.95,"Tillage","Argovian"
"503",1.25,1,"Meadow","Argovian"
"504",1.25,1.05,"Meadow","Argovian"
"505",1.25,1.1,"Meadow","Argovian"
"506",1.25,1.15,"Meadow","Argovian"
"507",1.25,1.2,"Forest","Quaternary"
"508",1.25,1.25,"Forest","Argovian"
"509",1.25,1.3,"Forest","Argovian"
"510",1.25,1.35,"Meadow","Quaternary"
"511",1.25,1.4,"Meadow","Quaternary"
"512",1.25,1.45,"Meadow","Quaternary"
"513",1.25,1.5,"Meadow","Quaternary"
"514",1.25,1.55,"Meadow","Quaternary"
"515",1.25,1.6,"Meadow","Sequanian"
"516",1.25,1.65,"Meadow","Sequanian"
"517",1.25,1.7,"Pasture","Sequanian"
"518",1.25,1.75,"Pasture","Sequanian"
"519",1.25,1.8,"Meadow","Sequanian"
"520",1.25,1.85,"Meadow","Sequanian"
"521",1.25,1.9,"Meadow","Sequanian"
"522",1.25,1.95,"Pasture","Sequanian"
"523",1.25,2,"Pasture","Sequanian"
"524",1.25,2.05,"Pasture","Sequanian"
"525",1.25,2.1,"Meadow","Sequanian"
"526",1.25,2.15,"Pasture","Sequanian"
"527",1.25,2.2,"Pasture","Sequanian"
"528",1.25,2.25,"Meadow","Kimmeridgian"
"529",1.25,2.3,"Meadow","Kimmeridgian"
"530",1.25,2.35,"Meadow","Kimmeridgian"
"531",1.25,2.4,"Meadow","Kimmeridgian"
"532",1.25,2.45,"Meadow","Kimmeridgian"
"533",1.25,2.5,"Meadow","Kimmeridgian"
"534",1.25,2.55,"Meadow","Sequanian"
"535",1.25,2.6,"Meadow","Sequanian"
"536",1.25,2.65,"Meadow","Sequanian"
"537",1.25,2.7,"Meadow","Sequanian"
"538",1.25,2.75,"Meadow","Sequanian"
"539",1.25,2.8,"Meadow","Sequanian"
"540",1.25,2.85,"Meadow","Sequanian"
"541",1.25,2.9,"Meadow","Argovian"
"542",1.25,2.95,"Meadow","Argovian"
"543",1.25,3,"Meadow","Argovian"
"544",1.25,3.05,"Meadow","Argovian"
"545",1.25,3.1,"Pasture","Argovian"
"546",1.25,3.15,"Meadow","Argovian"
"547",1.25,3.2,"Meadow","Argovian"
"548",1.3,0.6,"Tillage","Quaternary"
"549",1.3,0.65,"Tillage","Quaternary"
"550",1.3,0.7,"Tillage","Argovian"
"551",1.3,0.75,"Tillage","Argovian"
"552",1.3,0.8,"Tillage","Argovian"
"553",1.3,0.85,"Tillage","Argovian"
"554",1.3,0.9,"Tillage","Argovian"
"555",1.3,0.95,"Tillage","Argovian"
"556",1.3,1,"Meadow","Argovian"
"557",1.3,1.05,"Meadow","Argovian"
"558",1.3,1.1,"Meadow","Argovian"
"559",1.3,1.15,"Meadow","Argovian"
"560",1.3,1.2,"Forest","Quaternary"
"561",1.3,1.25,"Forest","Argovian"
"562",1.3,1.3,"Forest","Argovian"
"563",1.3,1.35,"Meadow","Quaternary"
"564",1.3,1.4,"Meadow","Quaternary"
"565",1.3,1.45,"Meadow","Quaternary"
"566",1.3,1.5,"Meadow","Quaternary"
"567",1.3,1.55,"Meadow","Quaternary"
"568",1.3,1.6,"Meadow","Sequanian"
"569",1.3,1.65,"Meadow","Sequanian"
"570",1.3,1.7,"Meadow","Sequanian"
"571",1.3,1.75,"Meadow","Sequanian"
"572",1.3,1.8,"Meadow","Sequanian"
"573",1.3,1.85,"Meadow","Sequanian"
"574",1.3,1.9,"Meadow","Sequanian"
"575",1.3,1.95,"Pasture","Sequanian"
"576",1.3,2,"Pasture","Sequanian"
"577",1.3,2.05,"Pasture","Sequanian"
"578",1.3,2.1,"Pasture","Sequanian"
"579",1.3,2.15,"Pasture","Sequanian"
"580",1.3,2.2,"Pasture","Sequanian"
"581",1.3,2.25,"Meadow","Kimmeridgian"
"582",1.3,2.3,"Meadow","Kimmeridgian"
"583",1.3,2.35,"Meadow","Kimmeridgian"
"584",1.3,2.4,"Meadow","Kimmeridgian"
"585",1.3,2.45,"Meadow","Kimmeridgian"
"586",1.3,2.5,"Meadow","Kimmeridgian"
"587",1.3,2.55,"Meadow","Sequanian"
